,city,lat,lon,country,date,maxtemp,humidity,clouds,wind
85,Bubaque,11.28,-15.83,GW,1556913033,77.45,72,0,22.84
86,Maua,0.23,37.94,KE,1556913438,53.15,96,100,4.18
87,Manaus,-3.13,-59.98,BR,1556910000,82.4,78,40,6.93
88,Meulaboh,4.14,96.13,ID,1556913439,82.49,83,10,5.39
89,Mamallapuram,12.63,80.17,IN,1556912018,89.6,66,20,9.17
90,Georgetown,6.8,-58.16,GY,1556910000,82.4,83,75,11.41
91,Port Elizabeth,39.31,-74.98,US,1556912913,73.99,68,1,4.7
92,Weihe,32.99,105.33,CN,1556913440,51.71,95,100,1.72
93,Grand Gaube,-20.01,57.66,MU,1556912940,77.0,69,40,10.29
94,Kodiak,39.95,-94.76,US,1556912911,59.0,82,90,5.82
95,Khatanga,71.98,102.47,RU,1556912682,10.31,89,38,7.31
96,Qaqortoq,60.72,-46.03,GL,1556909400,50.0,27,75,48.32
97,Sao Joao da Barra,-21.64,-41.05,BR,1556910000,82.4,74,40,18.34
98,Nioro,13.79,-15.05,GM,1556913441,85.37,26,13,15.66
99,Warrnambool,-38.38,142.48,AU,1556913129,55.99,67,98,5.01
100,Tuktoyaktuk,69.44,-133.03,CA,1556910000,15.8,78,20,12.75
101,Xining,36.62,101.77,CN,1556913053,45.23,69,100,3.62
102,Nemuro,43.32,145.57,JP,1556913001,41.09,83,0,4.43
103,Teo,42.8,-8.55,ES,1556913417,62.6,71,0,10.29
104,Deputatskiy,69.3,139.9,RU,1556912980,20.39,88,0,3.56
105,Standish,53.59,-2.66,GB,1556913272,48.99,75,40,9.17
106,Upernavik,72.79,-56.15,GL,1556912978,31.37,87,38,14.32
107,Sangar,63.92,127.47,RU,1556913443,23.63,85,0,10.65
108,Sumbe,-11.2,13.84,AO,1556913443,79.25,87,47,7.85
109,Bansko,41.39,22.75,MK,1556913444,51.17,78,32,6.11
110,Vila Velha,-3.71,-38.6,BR,1556912897,86.0,62,20,17.22
111,Hobyo,5.35,48.53,SO,1556913444,83.93,74,0,17.54
112,Amuntai,-2.42,115.25,ID,1556913245,74.03,97,3,0.36
113,Ossora,59.24,163.07,RU,1556913445,33.17,79,86,11.03
114,Harper,30.3,-99.24,US,1556913424,77.0,69,90,5.82
115,Kelme,55.63,22.93,LT,1556911200,37.4,64,0,5.82
116,Leningradskiy,69.38,178.42,RU,1556913446,28.49,78,5,6.96
117,Vestmannaeyjar,63.44,-20.27,IS,1556913446,41.27,70,22,11.07
118,Malibu,33.61,-84.48,US,1556913424,86.0,51,1,5.82
